image,area_px,area_cm2,L_mean,L_std,pct_dark,roughness,rim_edge_density,micro_holes,bry_area_px,bry_pct
DSC_0111.JPG,10029761.0,6268.600625,119.49337768554688,72.02252197265625,37.233694664447505,0.1511892493374271,,0,5734479,57.17463257599059
DSC_0112.JPG,10029761.0,6268.600625,108.46876525878906,67.7347640991211,42.89240654652586,0.1511892493374271,,0,4152115,41.397945574176696
DSC_0113.JPG,10029761.0,6268.600625,104.14105224609376,65.86170196533203,49.58926783619019,0.1511892493374271,,0,3942317,39.30619084542493
DSC_0114.JPG,10029761.0,6268.600625,124.41757202148438,73.91613006591797,35.036563552188554,0.1511892493374271,,0,5925056,59.07474764353807
DSC_0115.JPG,10029761.0,6268.600625,113.5171127319336,70.42977142333984,41.48165684624018,0.1511892493374271,,0,5170926,51.55582471008033
DSC_0116.JPG,10029761.0,6268.600625,123.40929412841795,74.0547866821289,35.04904832733905,0.1511892493374271,,0,5709562,56.92620193043483
DSC_0117.JPG,10029761.0,6268.600625,120.25497436523438,72.75035095214844,36.47506273275686,0.1511892493374271,,0,5765240,57.481329814339546
DSC_0118.JPG,10029761.0,6268.600625,109.87391662597656,69.32243347167969,48.16085212924702,0.1511892493374271,,0,4680383,46.66495044099256
DSC_0119.JPG,10029761.0,6268.600625,103.23592376708984,78.53667449951172,39.50742829175594,0.1511892493374271,,0,4686062,46.721571929779785
DSC_0120.JPG,10029761.0,6268.600625,104.78678131103516,78.90876007080078,38.66752077275278,0.1511892493374271,,0,5058275,50.43265736840589
DSC_0121.JPG,10029761.0,6268.600625,109.19544219970705,82.33748626708984,39.44413755611672,0.1511892493374271,,0,5550924,55.34452914680619
DSC_0122.JPG,7693471.0,4808.419375,146.52633666992188,58.93545913696289,17.08015207687384,0.2345778180997453,0.0002666034717696,0,5874687,76.35938317048313
DSC_0123.JPG,10029761.0,6268.600625,130.8802490234375,69.44732666015625,24.39311836802367,0.1511892493374271,,0,6953279,69.32646750007304
DSC_0124.JPG,10029761.0,6268.600625,134.24261474609375,70.9652099609375,23.944045091062137,0.1511892493374271,,0,6953951,69.3331675600246
DSC_0125.JPG,10029761.0,6268.600625,133.02896118164062,70.84529876708984,24.266825850040817,0.1511892493374271,,0,6831422,68.11151332519289
DSC_0127.JPG,10029761.0,6268.600625,133.6389617919922,69.67729949951172,23.446049031986533,0.1511892493374271,,0,6964812,69.44145528492653
DSC_0129.JPG,10029761.0,6268.600625,111.52779388427734,63.814918518066406,29.198690662942557,0.1511892493374271,,0,5773761,57.56628697333865
DSC_0133.JPG,10029761.0,6268.600625,119.79827117919922,65.07108306884766,24.68374559993878,0.1511892493374271,,0,5893026,58.75539805983413
