image,area_px
1.1.JPG,138646.0
1.2.JPG,203158.0
1.3.JPG,193681.0
1.4.JPG,76510.5
1.5.JPG,90334.0
1.6.JPG,292329.5
1.7.JPG,160680.5
11.1.JPG,152924.5
11.3.JPG,103978.5
11.4.JPG,105533.5
11.5.JPG,111217.0
11.6.JPG,132822.5
11.7.JPG,273747.5
13.2.JPG,109161.0
13.3.JPG,152663.5
13.4.JPG,324270.0
3.1.JPG,114079.5
3.2.JPG,258711.0
3.3.JPG,138901.5
3.4.JPG,228820.0
3.5.JPG,303657.5
3.6.JPG,337544.0
3.7.JPG,276803.5
5.1.JPG,310411.5
5.2.JPG,145967.0
5.3.JPG,112865.5
5.4.JPG,151112.0
5.5.JPG,76140.0
5.6.JPG,132247.0
5.7.JPG,100612.0
7.1.JPG,167242.0
7.2.JPG,225975.5
7.3.JPG,177435.0
7.4.JPG,240689.0
7.5.JPG,106480.0
7.6.JPG,176255.0
7.7.JPG,173902.0
9.1.JPG,62286.5
9.2.JPG,70947.5
9.3.JPG,79134.5
9.4.JPG,120192.5
9.5.JPG,104466.5
9.6.JPG,89022.5
9.7.JPG,73985.5
no3.1.JPG,85026.5
