image,area_px,area_cm2,L_mean,L_std,pct_dark
1.1,67705.5,42.3159375,78.60939025878906,28.74660301208496,78.14100590556691
1.2,114456.0,71.535,83.92523193359375,32.25278854370117,72.58051346093806
1.3,125350.5,78.3440625,74.72366333007812,30.35064697265625,82.13483259787053
1.4,36801.5,23.0009375,68.75322723388672,22.709060668945312,93.42122022672271
1.5,41672.0,26.045,84.46913146972656,32.94308853149414,75.77973130588795
1.6,236127.5,147.5796875,79.12686920166016,30.610248565673828,77.77796508452404
1.7,85119.0,53.199375,88.1827392578125,35.651065826416016,68.64612398398641
11.1,104634.5,65.3965625,123.85723114013672,41.798255920410156,33.46849736943411
11.3,52169.5,32.6059375,104.32659149169922,41.8640022277832,54.471506752087265
11.4,53164.0,33.2275,101.00745391845703,39.87848663330078,56.504766562998924
11.5,59437.5,37.1484375,108.07862091064453,42.52565002441406,50.15479330022844
11.6,78082.0,48.80125,116.91683197021484,43.69975662231445,42.55965324821796
11.7,222509.0,139.068125,105.10720825195312,35.95608139038086,47.323597465598894
13.2,31764.0,19.8525,81.56165313720703,37.04497528076172,73.52221769262128
13.3,80258.0,50.16125,107.33554077148438,48.53787612915039,49.70979443772672
13.4,238448.5,149.0303125,120.31336212158203,39.13472366333008,28.98476988258667
3.1,86019.5,53.7621875,123.05449676513672,39.92161560058594,27.45007562357405
3.2,155753.5,97.3459375,112.87017822265625,45.46480941772461,41.63600575365281
3.3,42651.0,26.656875,82.03755187988281,36.160396575927734,75.05354659248957
3.4,141216.5,88.2603125,90.18334197998047,35.47007369995117,61.24669001452122
3.5,211715.5,132.3221875,79.0859146118164,33.5298957824707,76.6051493837517
3.6,245381.0,153.363125,93.12315368652344,39.40797424316406,62.07324045552133
3.7,174831.5,109.2696875,104.29100036621094,49.5421257019043,55.738542790618425
5.1,221877.5,138.6734375,87.76667785644531,36.23203659057617,66.94092599750347
5.2,61408.0,38.38,86.30754852294922,38.80854797363281,70.35811793778274
5.3,50953.5,31.8459375,81.3758773803711,33.72992706298828,77.04160644228783
5.4,81688.5,51.0553125,95.6876449584961,41.34907150268555,61.18663505399067
5.5,28580.0,17.8625,98.90252685546875,39.76693344116211,61.70892927646242
5.6,65835.0,41.146875,101.93978118896484,42.43996047973633,55.779346775562
5.7,66162.0,41.35125,116.67211151123047,46.541412353515625,39.15159607922823
7.1,87762.0,54.85125,102.8343505859375,42.95737075805664,50.537129201034816
7.2,121636.5,76.0228125,111.03398895263672,40.34115219116211,38.8927010102841
7.3,58335.0,36.459375,112.18861389160156,39.9963264465332,39.59385314884037
7.4,162600.0,101.625,123.68096160888672,46.67082214355469,34.31358992712129
7.5,32174.0,20.10875,80.08158111572266,37.878074645996094,76.65308340124966
7.6,58021.5,36.2634375,102.43315124511719,44.54298782348633,50.73497491468796
7.7,89846.5,56.1540625,117.27706909179688,41.79277801513672,37.91297612231839
9.1,25554.0,15.97125,86.97268676757812,36.9632568359375,78.65339523905651
9.2,48513.5,30.3209375,93.7313003540039,42.29241180419922,69.39947212320753
9.3,53061.0,33.163125,93.65444946289062,40.10946273803711,68.05632281270331
9.4,71694.0,44.80875,115.98572540283203,43.40338897705078,42.98872854024823
9.5,52256.0,32.66,106.45032501220703,42.88680648803711,53.45181134654818
9.6,47764.5,29.8528125,107.12995910644531,44.42749786376953,55.27655242619613
9.7,30055.0,18.784375,84.3019027709961,47.18657684326172,73.49968455071009
no3.1,85026.5,53.1415625,121.11943817138672,29.87567901611328,23.18350324374421
