image,blade_area_px,bry_area_px,bry_percent
1.10.JPG,2064836,1530967,74.14472626397448
1.11.JPG,2537000,1739804,68.57721718565234
1.9.JPG,2224727,1606889,72.22859254191638
2.8.JPG,1611682,1253722,77.78966322140472
DSC_0111.JPG,3729901,2205894,59.140819019057076
DSC_0112.JPG,5414117,2167107,40.02697023355794
DSC_0113.JPG,5617637,2174586,38.70997716655597
DSC_0114.JPG,3589806,2201561,61.32813305231536
DSC_0115.JPG,4327550,2195802,50.74007232729836
DSC_0116.JPG,3729444,2237614,59.998594964825855
DSC_0117.JPG,3678723,2258827,61.40247580478334
DSC_0118.JPG,4834003,2255856,46.666417046079616
DSC_0119.JPG,3838633,3335175,86.8844455825811
DSC_0120.JPG,3822693,3110901,81.37982830428706
DSC_0121.JPG,3960791,3216817,81.2165297285315
DSC_0122.JPG,1461679,1006035,68.82735539061586
DSC_0123.JPG,2406348,1917764,79.69603731463611
DSC_0124.JPG,2369106,1888464,79.71209392910237
DSC_0125.JPG,2399085,2054056,85.61830864683827
DSC_0127.JPG,2316829,1996504,86.17399039808289
DSC_0129.JPG,2654331,1950530,73.48480652940421
DSC_0133.JPG,2353679,2028851,86.19913760542538
