threshold,dice,iou
0.1,0.877649,0.789693
0.15,0.880052,0.793265
0.2,0.880329,0.793698
0.25,0.88123,0.795039
0.3,0.881603,0.795551
0.35,0.881819,0.795855
0.4,0.881824,0.795831
0.45,0.881967,0.796059
0.5,0.88264,0.797068
0.55,0.882444,0.796758
0.6,0.881861,0.795859
0.65,0.88202,0.796154
0.7,0.881614,0.795614
0.75,0.882345,0.79668
0.8,0.881843,0.795983
0.85,0.880894,0.794568
0.9,0.879044,0.791817
