threshold,dice,iou
0.1,0.529989,0.411269
0.15,0.526153,0.40719
0.2,0.523389,0.404194
0.25,0.520398,0.400903
0.3,0.518216,0.398577
0.35,0.515024,0.395146
0.4,0.513299,0.393326
0.45,0.511041,0.390922
0.5,0.709365,0.58924
0.55,0.706381,0.58612
0.6,0.7051,0.584844
0.65,0.702327,0.582146
0.7,0.698481,0.578218
0.75,0.695172,0.574892
0.8,0.692565,0.572212
0.85,0.688305,0.568105
0.9,0.68355,0.563424
