threshold,dice,iou
0.1,0.817376,0.730611
0.15,0.818806,0.73198
0.2,0.820722,0.733965
0.25,0.822652,0.736058
0.3,0.824188,0.737588
0.35,0.825512,0.739048
0.4,0.827139,0.740737
0.45,0.8281,0.741853
0.5,0.829396,0.743155
0.55,0.830505,0.744319
0.6,0.831628,0.745494
0.65,0.832857,0.74687
0.7,0.83403,0.748109
0.75,0.83563,0.749625
0.8,0.836266,0.749904
0.85,0.836664,0.750184
0.9,0.837117,0.749896
