threshold,dice,iou
0.1,0.912557,0.845385
0.15,0.91116,0.843158
0.2,0.909782,0.840969
0.25,0.909131,0.839871
0.3,0.908225,0.838436
0.35,0.906867,0.836241
0.4,0.906186,0.835184
0.45,0.905915,0.834779
0.5,0.904886,0.833116
0.55,0.904406,0.832346
0.6,0.904302,0.832239
0.65,0.903923,0.831669
0.7,0.903458,0.830954
0.75,0.902737,0.829803
0.8,0.90203,0.828736
0.85,0.900863,0.826893
0.9,0.89866,0.823532
